,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
1,132,40944,39472,39929,40870,27871
2,132,35636,34550,34666,35599,24134
3,132,46992,43925,43852,46875,30041
4,132,30131,29179,29553,30094,21132
5,132,29907,29034,29310,29865,20875
6,132,40565,39123,39200,40433,25919
7,132,49669,47800,48154,49582,32962
8,132,16954,15824,16107,16870,10838
9,132,20378,18484,19185,20280,13559
10,132,16832,15888,16278,16768,11276
11,132,16622,14630,15129,16545,10635
12,132,21703,21149,21291,21669,16250
13,132,18580,17692,17927,18514,11904
14,132,69716,67343,67582,69538,47314
15,132,47002,44043,44976,46783,30347
16,132,44084,42135,42287,43960,31629
17,132,33416,32255,32613,33371,21734
18,132,39556,38937,39048,39521,28686
19,132,40673,38131,38838,40530,26217
20,132,42906,42309,42429,42847,31601
21,132,10470,10169,10253,10457,8060
22,132,10892,10407,10645,10888,8456
23,132,11284,11045,11065,11278,8693
24,132,45100,43379,43944,45070,34771
25,132,43871,42619,42820,43854,34508
26,132,36821,35624,35807,36800,28528
27,132,37428,36801,36902,37421,29224
28,132,36166,35134,35245,36149,27779
29,132,27392,26666,26978,27382,20656
30,132,36569,35561,35708,36554,28197
31,132,31984,31209,31326,31975,24655
32,132,28157,27498,27576,28143,21865
33,132,35602,34700,34812,35587,27829
34,132,31942,31164,31304,31926,24115
35,132,38509,37503,37610,38495,30363
36,132,33460,32617,32735,33438,26615
37,100,254667,194725,202513,236619,93645
38,100,145592,112277,114891,137752,56060
39,100,160362,120070,124649,147712,57253
40,100,409660,267338,294409,405394,246139
41,100,665113,521428,545036,661251,437823
42,100,552698,430390,446192,541983,287306
43,100,716093,593535,609665,705982,398992
44,100,428944,341934,345075,427926,282287
45,100,600214,532605,541599,598908,447205
46,100,519229,445743,442363,516432,320333
47,100,621054,570151,575878,618256,426620
48,100,681983,674191,674002,681302,589438
49,100,598013,581999,582320,597277,493510
50,100,535724,374629,403678,531162,330949
51,100,531148,468922,480105,526822,348748
52,100,639017,545858,555911,626312,312315
53,100,203769,168334,172487,197467,90646
54,100,167076,139067,142084,162532,75575
55,140,298351,275292,280849,297717,201116
56,140,281588,219846,230554,280463,177503
57,140,187735,165334,168100,186813,119184
58,140,271744,221436,231443,270818,181115
59,140,230631,140483,167126,229193,142987
60,140,217961,134035,169479,217037,139000
61,140,264891,216327,224442,264004,173316
62,140,190126,119987,137364,186818,106458
63,140,267369,193137,206711,265324,168752
64,140,348049,289191,301911,346077,209551
65,140,167343,93244,103357,165175,103066
66,140,184668,144613,153755,184437,142001
67,140,174369,127880,129485,172044,111666
68,140,188065,153533,154999,187625,135046
69,140,123532,85940,89866,123045,77751
70,140,134608,120452,120612,134483,110898
71,140,163505,145117,145302,163367,130260
72,140,133163,65774,65905,133077,112285
73,140,119728,108725,108758,119677,98402
74,140,208153,175562,182645,207694,147312
75,140,196885,152785,164648,196401,125258
76,140,138794,109610,116298,138352,89572
77,140,119426,98167,102359,119185,78147
78,140,141777,94484,96499,141287,82314
79,140,162980,117987,131036,162485,101190
80,140,87527,73083,80836,87394,63582
81,140,127464,107796,111600,127152,82032
82,140,265605,238609,247677,265172,209852
83,140,130183,100923,108584,129868,82103
84,140,147981,100862,104858,147710,100305
85,140,110670,92972,97690,110472,74402
86,140,183731,140271,150091,179103,95623
87,140,162477,138094,142703,159600,97430
88,140,142661,135568,136302,142013,113284
89,140,137638,72076,81138,136628,89891
90,140,203048,112027,128659,200558,126515
91,140,156039,86810,101373,154974,101602
92,140,169014,98160,103995,165946,99462
93,140,158006,98681,106064,155847,96671
94,140,152353,92652,104110,151103,92867
95,140,236523,146811,157998,233341,141446
96,140,171503,95010,117791,169890,110176
97,140,205732,134711,146270,203551,121825
98,140,159506,84445,92611,158026,107609
99,140,143001,117842,124012,142490,95628
100,140,166609,134404,141594,166061,114431
101,143,87912,58613,63549,86707,40702
102,143,31471,20139,22078,31110,15180
103,143,39155,26873,29378,38811,18674
104,143,125273,80853,87524,122662,53128
105,143,51547,31107,35511,50810,20626
106,143,41795,27680,30661,41181,19904
107,143,60551,35831,39012,58815,21157
108,143,96139,55960,60125,93036,36181
109,143,71945,39058,42083,69106,29702
110,143,67061,44313,47214,65572,28398
111,143,125457,82228,87281,122030,49020
112,143,90009,48185,52699,87376,39380
113,143,66273,40543,42893,64521,26003
114,143,57542,32221,34930,55920,28267
115,143,65555,36770,39873,64449,32397
116,143,106136,80653,84384,104751,56615
117,100,129909,106716,111943,124394,32597
118,100,209116,196824,200028,207667,76165
119,100,64305,60211,60691,62750,23778
120,100,232598,221008,221989,231062,99022
